,SK텔레콤,삼성화재,카카오뱅크,KT&G,SK,하이브,한국전력,하나금융지주,삼성생명,LG,SK이노베이션,신한지주,LG전자,KB금융,삼성물산,현대모비스,셀트리온,포스코퓨처엠,POSCO홀딩스,NAVER,기아,삼성SDI,LG화학,삼성바이오로직스,SK하이닉스,LG에너지솔루션
2023-04-04,62313.54,85198.7,187608.2,174041.77,18725.514,41645.785,65176.242,81191.164,178467.75,35797.984,103799.63,195275.11,48460.85,111634.6,214194.83,162003.28,149697.12,260685.25,374055.84,206603.72,79248.96,709862.3,694963.1,809216.8,90512.24,553761.25
2023-04-05,62863.31,85390.7,189849.9,176512.39,18640.533,41967.652,65346.05,81832.92,179527.97,36142.17,104634.95,188013.9,49165.375,111768.22,215800.56,165386.78,145233.08,257985.11,356233.2,206958.78,78393.516,698738.44,701116.3,810912.7,89719.875,548165.06
2023-04-06,63411.168,85394.57,192619.33,176645.33,18699.908,41969.03,64611.08,81975.98,177170.03,35707.82,106172.51,214810.1,48792.562,111999.305,216671.94,166089.81,148774.11,256264.44,349218.84,206091.44,79285.46,729149.56,695895.2,810941.4,88876.02,554860.94
2023-04-07,64840.66,85370.46,190416.78,184062.31,18758.197,41341.04,64922.004,81665.05,175098.97,35665.664,104387.484,227056.83,48458.27,111320.625,216643.67,167007.47,152238.3,255178.03,342726.25,200769.5,80322.234,717643.0,690544.5,827434.7,87932.87,547700.25
2023-04-10,64245.215,84974.15,189535.75,188538.52,18756.184,41452.746,63967.27,81795.96,179838.81,35536.324,104536.87,232359.28,48253.805,110989.89,214654.36,165467.17,154747.83,259077.5,345664.3,202653.2,78938.66,704992.4,686809.44,817944.2,93810.86,551986.6
2023-04-11,65049.004,84723.99,189155.97,197038.95,18789.123,41543.336,64008.566,81736.95,187149.1,36014.723,103885.93,259398.55,48618.8,110670.6,214704.67,168049.66,180366.2,273459.06,383185.1,201759.11,78745.766,714997.44,711452.94,819898.56,92760.02,568234.44
2023-04-12,66710.21,84523.58,190759.23,197965.98,18905.832,41929.63,64491.332,82119.98,193017.52,36004.242,103523.19,274586.06,48981.63,112112.62,218068.31,172252.7,171708.73,274291.7,367452.8,205444.81,83024.93,732340.25,772144.06,827390.06,93366.34,579260.9
2023-04-13,73670.47,84628.25,195435.95,203071.34,19050.795,42283.01,65181.645,85378.45,187339.45,35624.145,104219.07,268699.28,48504.91,112757.86,225950.58,177357.05,165026.03,273526.22,393920.72,204679.16,84639.61,729895.2,743678.94,821136.0,92259.78,555425.4
2023-04-14,76707.53,84896.3,192064.77,209179.61,19109.812,41892.734,65342.953,86858.09,182964.66,36161.008,105360.74,268035.53,48950.098,111799.96,224032.95,178983.86,159594.55,261572.16,356177.22,204045.53,83563.09,716185.2,741406.7,826355.94,91236.195,556656.7
2023-04-17,72894.59,85235.23,193877.03,216850.25,19108.047,42912.434,66012.336,85023.55,184553.94,35950.07,104679.95,238713.23,49571.625,112547.305,224651.53,175237.69,162246.53,303817.12,387712.97,206424.9,82989.51,719784.56,754377.6,831958.1,91950.11,557715.75
2023-04-18,72525.12,85528.02,191777.22,215209.47,19253.133,42132.29,64838.87,83854.43,184773.03,36462.41,103167.37,233989.05,49605.19,111831.46,222581.55,174981.44,166384.06,332419.75,396538.38,204349.73,82405.27,714124.3,752732.94,825335.8,90299.01,552882.8
2023-04-19,70731.2,86411.96,187391.38,214642.56,19047.967,42150.812,65597.21,85235.9,182669.22,36325.406,102699.6,229640.05,49462.707,111337.516,222485.47,172255.52,166702.48,347978.88,391067.84,201192.7,81263.945,723540.8,765557.1,815898.0,90586.02,557562.1
2023-04-20,69954.76,86997.64,187019.12,210302.12,19267.57,41967.484,65913.27,85310.04,180952.72,36424.113,106176.27,218520.44,50260.69,112468.98,221483.67,171513.56,165159.97,359142.4,376166.47,200750.81,82704.44,718657.6,749224.1,813042.3,90551.31,549725.94
2023-04-21,69392.055,86589.734,186019.92,210759.23,19323.941,42106.98,66276.484,84753.89,179568.27,35937.246,101847.84,209924.47,50092.29,112007.13,222468.56,170692.72,163764.81,347497.56,372377.56,201391.12,81942.53,711678.6,749265.06,810763.3,89602.83,547794.3
2023-04-24,68662.71,87357.58,184786.61,212628.92,19314.537,42220.086,66500.836,83975.586,177698.88,35982.78,100750.945,210824.77,49850.902,111125.414,222799.89,170172.56,159846.77,334468.03,368337.66,200315.08,80730.016,700441.5,736237.6,810304.8,90910.016,538784.44
2023-04-25,67949.37,87347.65,186335.92,211413.94,19261.04,41802.098,66268.586,83494.1,177397.78,36466.8,99659.555,213483.58,50071.94,111966.375,227932.52,169035.06,160351.03,317982.1,360073.66,199652.4,81983.44,691476.2,724836.0,817483.7,89780.47,535808.0
2023-04-26,68632.77,87069.734,185902.9,214202.2,19125.332,42154.79,66364.336,83518.69,175990.56,36464.527,100847.08,231413.23,50383.92,110673.52,230854.22,169281.22,155565.81,310306.22,361707.75,198501.97,83998.4,690436.4,717515.4,814556.75,89237.41,529657.7
2023-04-27,67888.06,86290.05,183891.84,216139.66,19041.068,42127.137,66175.016,82864.35,176111.4,36238.6,100434.37,227988.42,49722.48,110350.68,224868.06,168313.28,150518.67,302945.53,349697.78,198765.94,86750.414,682671.3,701854.4,810424.2,90935.38,542027.5
2023-04-28,68414.805,86065.38,185215.11,215607.44,19034.7,41816.906,65536.84,83314.3,176450.77,36138.273,99751.375,261736.95,49573.285,111887.74,219378.95,168236.44,160322.39,300108.56,355194.72,198754.25,85354.11,681208.2,706421.56,804864.56,91133.086,559107.8
2023-05-02,68418.37,85997.89,186311.06,228822.55,19077.76,42816.855,66558.58,83232.04,175049.3,36012.684,101438.4,267949.78,50150.63,112837.04,218153.52,165324.55,160599.7,299815.88,360670.28,202170.62,83688.36,687190.8,703143.3,808438.75,92800.31,548918.3
2023-05-03,67873.4,85925.414,187803.95,234448.12,19414.037,42432.414,66469.695,83457.695,176262.64,35751.39,100526.29,248587.89,49328.15,112188.82,219849.11,165683.97,157028.03,310651.7,347807.6,201626.83,83792.62,676234.25,708624.75,798675.25,92076.24,556704.6
2023-05-04,66253.83,86452.24,185529.9,243076.06,19412.578,41797.285,67872.27,83811.39,174983.95,35617.277,101643.734,250546.28,48840.816,112250.46,217816.83,163685.22,150549.88,299825.94,352123.78,201685.98,83481.29,667839.25,694077.9,803421.4,90854.41,535157.8
